--dataset Cora --num_layers 2 --hidden 16 --dropout 0.5 --lr 0.01 --weight_decay 0.0005 --epochs 200 --device cuda
Epoch 123, Loss: 0.04312409460544586
Epoch 124, Loss: 0.042907025665044785
Epoch 125, Loss: 0.04269355162978172
Epoch 126, Loss: 0.04248211160302162
Epoch 127, Loss: 0.04227325692772865
Epoch 128, Loss: 0.042069148272275925
Epoch 129, Loss: 0.041868746280670166
Epoch 130, Loss: 0.04167104512453079
Val Acc: 2704.0
Epoch 131, Loss: 0.04147568345069885
Epoch 132, Loss: 0.04128343239426613
Epoch 133, Loss: 0.04109320789575577
Epoch 134, Loss: 0.04090467095375061
Epoch 135, Loss: 0.04071952402591705
Epoch 136, Loss: 0.04053819924592972
Epoch 137, Loss: 0.040359269827604294
Epoch 138, Loss: 0.04018400236964226
Epoch 139, Loss: 0.040008243173360825
Epoch 140, Loss: 0.03983476758003235
Val Acc: 2704.0
Epoch 141, Loss: 0.03966356813907623
Epoch 142, Loss: 0.03949405252933502
Epoch 143, Loss: 0.039327867329120636
Epoch 144, Loss: 0.039163738489151
Epoch 145, Loss: 0.03900127857923508
Epoch 146, Loss: 0.038841187953948975
Epoch 147, Loss: 0.03868267685174942
Epoch 148, Loss: 0.038527730852365494
Epoch 149, Loss: 0.03837445005774498
Epoch 150, Loss: 0.03822258859872818
Val Acc: 2704.0
Epoch 151, Loss: 0.0380728580057621
Epoch 152, Loss: 0.03792555257678032
Epoch 153, Loss: 0.03778056427836418
Epoch 154, Loss: 0.03763595223426819
Epoch 155, Loss: 0.0374922938644886
Epoch 156, Loss: 0.03735048323869705
Epoch 157, Loss: 0.037211254239082336
Epoch 158, Loss: 0.03707316890358925
Epoch 159, Loss: 0.036937255412340164
Epoch 160, Loss: 0.0368027463555336
Val Acc: 2704.0
Epoch 161, Loss: 0.03667045757174492
Epoch 162, Loss: 0.036540135741233826
Epoch 163, Loss: 0.036410972476005554
Epoch 164, Loss: 0.03628510609269142
Epoch 165, Loss: 0.03616030886769295
Epoch 166, Loss: 0.036036040633916855
Epoch 167, Loss: 0.035912755876779556
Epoch 168, Loss: 0.03579108417034149
Epoch 169, Loss: 0.03566984459757805
Epoch 170, Loss: 0.03554998338222504
Val Acc: 2704.0
Epoch 171, Loss: 0.03543032705783844
Epoch 172, Loss: 0.035314202308654785
Epoch 173, Loss: 0.03520035371184349
Epoch 174, Loss: 0.035086724907159805
Epoch 175, Loss: 0.034975774586200714
Epoch 176, Loss: 0.03486621379852295
Epoch 177, Loss: 0.03475566580891609
Epoch 178, Loss: 0.03464670479297638
Epoch 179, Loss: 0.03453840687870979
Epoch 180, Loss: 0.03443089872598648
Val Acc: 2704.0
Epoch 181, Loss: 0.03432565927505493
Epoch 182, Loss: 0.03422112762928009
Epoch 183, Loss: 0.03411887213587761
Epoch 184, Loss: 0.03401641547679901
Epoch 185, Loss: 0.03391437605023384
Epoch 186, Loss: 0.0338127575814724
Epoch 187, Loss: 0.03371125087141991
Epoch 188, Loss: 0.03361048176884651
Epoch 189, Loss: 0.033511944115161896
Epoch 190, Loss: 0.03341389074921608
Val Acc: 2704.0
Epoch 191, Loss: 0.033317022025585175
Epoch 192, Loss: 0.03322044759988785
Epoch 193, Loss: 0.03312341496348381
Epoch 194, Loss: 0.033029135316610336
Epoch 195, Loss: 0.03293641656637192
Epoch 196, Loss: 0.03284519538283348
Epoch 197, Loss: 0.032755542546510696
Epoch 198, Loss: 0.032665371894836426
Epoch 199, Loss: 0.03257565200328827
